,capture_id,nb_flows,Flow1,Flow2,Flow3,Flow4,Flow5,nb_Payload_send1,nb_Payload_send2,nb_Payload_send3,nb_Payload_send4,nb_Payload_send5
0,1,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,67874,173,,
1,2,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,107825,144,,
2,3,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,46609,155,,
3,4,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,61035,158,,
4,5,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,28055,161,,
5,6,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,553819,184,,
6,7,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,3185891,158,,
7,8,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,5070,169,,
8,9,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,4180301,173,,
9,10,3,target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,,,0,545665,159,,
10,11,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,564849,152,,
11,12,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,373871,159,,
12,13,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,1049177,156,,
13,14,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,22813,159,,
14,15,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,51151,349,,
15,16,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,336121,178,,
16,17,3,target->economy.canonical.com,economy.canonical.com->target,target->economy.canonical.com,,,0,3519287,181,,
